Date,Open,High,Low,Close,Adj Close,Volume
2017-06-21,97.669998,97.669998,95.860001,95.910004,86.354118,433810
2017-06-22,96.019997,96.019997,95.040001,95.529999,86.011971,270746
2017-06-23,95.290001,95.790001,94.599998,94.669998,85.237648,285580
2017-06-26,94.970001,95.080002,94.610001,94.610001,85.183632,320242
2017-06-27,94.360001,94.580002,93.000000,93.400002,84.094200,366217
2017-06-28,92.800003,93.900002,92.519997,93.900002,84.544380,367557
2017-06-29,94.059998,94.199997,91.900002,91.900002,82.743645,407825
2017-06-30,91.750000,92.910004,91.370003,92.419998,83.211830,480425
2017-07-03,92.529999,92.900002,91.800003,92.510002,83.292870,294081
2017-07-04,92.000000,92.769997,92.000000,92.379997,83.175819,208270
2017-07-05,92.330002,95.470001,91.980003,95.339996,85.840904,497919
2017-07-06,95.599998,95.949997,94.330002,95.500000,85.984962,547850
2017-07-07,95.300003,95.550003,94.739998,95.400002,85.894928,373316
2017-07-10,96.000000,96.129997,95.209999,95.480003,85.966957,324973
2017-07-11,95.209999,96.370003,95.209999,95.699997,86.165031,317456
2017-07-12,95.699997,96.570000,95.699997,96.260002,86.669243,389068
2017-07-13,96.430000,97.000000,96.250000,96.660004,87.029388,329279
2017-07-14,96.800003,97.000000,96.339996,96.739998,87.101418,435421
2017-07-17,96.160004,96.610001,94.580002,95.430000,85.921936,433454
2017-07-18,94.930000,95.849998,94.290001,94.680000,85.246658,435929
2017-07-19,94.849998,95.050003,93.489998,93.959999,84.598396,356412
2017-07-20,94.339996,94.510002,93.190002,93.500000,84.184235,361571
2017-07-21,93.320000,93.690002,92.120003,92.339996,83.139801,523186
2017-07-24,92.169998,92.650002,91.220001,91.459999,82.347481,496400
2017-07-25,91.800003,93.330002,91.779999,92.849998,83.598991,355063
2017-07-26,92.639999,93.510002,92.500000,92.730003,83.490959,326918
2017-07-27,88.500000,89.430000,88.089996,89.250000,80.357674,1044386
2017-07-28,88.580002,89.089996,87.959999,88.680000,79.844460,512187
2017-07-31,88.309998,89.269997,88.309998,88.410004,79.601379,383229
2017-08-01,88.000000,89.870003,87.830002,89.459999,80.546753,430713
